cluster,n,lat_c,lon_c,vm2_median,vm2_mean,vm2_std,macro_dominante
136,5,-32.9346,-60.6864,643,644,179,macrocentro
137,5,-32.9266,-60.7611,740,773,114,norte
138,9,-32.9698,-60.6783,1311,1362,79,macrocentro
139,5,-32.8819,-60.6898,1556,1369,555,norte
140,5,-32.9451,-60.7141,508,510,26,oeste
141,4,-32.9074,-60.6911,603,600,184,norte
142,6,-32.9128,-60.6794,810,888,348,norte
143,5,-32.9724,-60.6294,569,655,265,macrocentro
144,8,-32.9409,-60.7053,685,714,212,oeste
145,5,-32.932,-60.7065,496,530,114,oeste
146,3,-32.9759,-60.6611,889,950,226,sur_default
147,4,-32.9708,-60.6684,752,732,97,macrocentro
148,6,-33.0001,-60.6331,801,803,249,sur_default
149,5,-32.9348,-60.6821,893,875,97,macrocentro
150,5,-32.9665,-60.6583,1083,954,240,macrocentro
