nombre,v3_usd,v41_usd,desvio_pct,n_zonal,ventana_dias,metodo,estado,p25,p75
rio_puerto_norte,2100,2100.0,,0,,sin_datos,mantener_v3,,
rio_bv_oro̱o,1850,1586.72,-14.2,262,90.0,rolling_90d,auto_aprobable,1131.54,2138.07
parque_espana_norte,1850,1429.2,-22.7,132,90.0,rolling_90d,revision_manual,1052.63,1938.52
parque_espana_sur,1750,1857.14,6.1,163,90.0,rolling_90d,auto_aprobable,1486.79,2105.81
martin_rio_urquiza,1850,1634.78,-11.6,212,90.0,rolling_90d,auto_aprobable,1216.67,1987.5
martin_centro_residencial,1480,1742.33,17.7,338,90.0,rolling_90d,auto_aprobable,1278.22,2031.25
martin_plaza_lopez,1520,1757.01,15.6,313,90.0,rolling_90d,auto_aprobable,1304.35,2031.25
martin_av_pellegrini_bajo,1650,1743.9,5.7,419,90.0,rolling_90d,auto_aprobable,1279.33,2117.71
centro_mendoza_maipu,1550,1574.42,1.6,237,90.0,rolling_90d,auto_aprobable,1179.1,2031.25
centro_san_juan_entre_rios,1600,1416.35,-11.5,210,90.0,rolling_90d,auto_aprobable,1063.54,1756.21
peatonal_cordoba_centro,1700,1420.12,-16.5,203,90.0,rolling_90d,auto_aprobable,1049.37,1700.0
pellegrini_libertad,1580,1700.0,7.6,386,90.0,rolling_90d,auto_aprobable,1276.34,2229.51
pellegrini_paraguay,1700,1548.52,-8.9,321,90.0,rolling_90d,auto_aprobable,1183.33,1946.67
pellegrini_oro̱o,1750,1881.75,7.5,386,90.0,rolling_90d,auto_aprobable,1471.0,2100.0
abasto_corazon_residencial,1380,1668.0,20.9,143,90.0,rolling_90d,revision_manual,1233.31,2070.24
abasto_sur_27feb,1280,1990.0,55.5,33,90.0,rolling_90d,revision_manual,1125.54,2371.79
sexta_unr_cur,1250,1172.53,-6.2,164,90.0,rolling_90d,auto_aprobable,1066.67,1546.57
sexta_pellegrini_sur,1400,1585.37,13.2,253,90.0,rolling_90d,auto_aprobable,1193.35,1981.26
lourdes_parque_independencia,1450,1832.88,26.4,370,90.0,rolling_90d,revision_manual,1485.31,2034.04
lourdes_core_santiago,1520,1726.58,13.6,201,90.0,rolling_90d,auto_aprobable,1350.0,2020.98
pichincha_centro_aristobulo,1680,1940.0,15.5,294,90.0,rolling_90d,auto_aprobable,1580.46,2454.02
pichincha_norte_brown,1550,2083.33,34.4,269,90.0,rolling_90d,revision_manual,1710.14,2521.01
echesortu_plaza_costa,1420,1035.17,-27.1,84,90.0,rolling_90d,revision_manual,782.68,1503.67
echesortu_mendoza_avellaneda,1350,822.94,-39.0,66,90.0,rolling_90d,revision_manual,679.31,1029.43
macrocentro_salta_lagos,1620,1743.89,7.6,274,90.0,rolling_90d,auto_aprobable,1345.5,2314.22
