zona,m2,dormitorios,valor_m2,vm2_expected,ratio,anom_type,lat,lon
Otro,258.0,6,601.0,608.0,0.9880280564896602,BORDERLINE,-33.0030546,-60.6566474
Otro,1500.0,1,500.0,461.0,1.084255874118972,BORDERLINE,-32.91436,-60.757183
Otro,300.0,6,533.0,589.0,0.9058766584684457,BORDERLINE,-32.965594800000005,-60.71266059999999
Otro,428.0,5,584.0,654.0,0.8928444896303468,BORDERLINE,-32.975445,-60.66493
Otro,800.0,2,400.0,369.0,1.0847938585314247,BORDERLINE,-32.915966,-60.775574
Otro,251.2,6,677.0,551.0,1.228487552324348,BORDERLINE,-32.965594800000005,-60.71266059999999
Otro,638.0,9,862.0,939.0,0.918205293174086,BORDERLINE,-32.94359,-60.65761
Otro,450.0,5,844.0,1016.0,0.831055055281014,BORDERLINE,-32.922061799999994,-60.75120939999999
Otro,324.0,1,1355.0,1334.0,1.0158514390640159,BORDERLINE,-32.917877,-60.774143
Otro,416.0,6,1394.0,1345.0,1.0369547241121628,BORDERLINE,-32.942688,-60.659534
Otro,600.0,5,1417.0,1339.0,1.058111380290498,BORDERLINE,-32.925407,-60.74499
Otro,789.0,6,1267.0,1388.0,0.9130171824301903,BORDERLINE,-32.94900683333333,-60.655487
Otro,616.0,3,406.0,525.0,0.7736900816116317,BORDERLINE,-32.97323,-60.641037
Otro,1400.0,3,421.0,483.0,0.8722800777099131,BORDERLINE,-32.91436,-60.757183
Otro,500.0,5,2000.0,1496.0,1.3370700070516177,OVERPRICED,-32.94900683333333,-60.655487
Otro,722.0,16,582.0,726.0,0.8016384403532576,BORDERLINE,-32.93884,-60.646404
Otro,394.0,5,1777.0,1410.0,1.2603745786380853,BORDERLINE,-32.90260883333334,-60.68813483333333
Otro,887.0,5,665.0,720.0,0.9242848803099057,BORDERLINE,-32.901745,-60.686443
Otro,700.0,5,643.0,742.0,0.8661565975598094,BORDERLINE,-32.891434,-60.687584
Otro,449.97,3,444.0,514.0,0.8641383665535408,BORDERLINE,-32.878582,-60.689316
Otro,48.0,1,2562.0,2227.0,1.1507129157495442,BORDERLINE,-32.9058682,-60.7641014
Otro,369.0,5,1301.0,1042.0,1.2480953596845485,BORDERLINE,-32.978180333333334,-60.630373166666665
Otro,340.0,3,3235.0,2624.0,1.2330758879954298,BORDERLINE,-32.910706,-60.753952
Otro,700.0,3,686.0,575.0,1.193321269060693,BORDERLINE,-32.973804,-60.662292
Otro,424.0,7,684.0,686.0,0.9965424298747942,BORDERLINE,-32.931639399999995,-60.7133652
Otro,400.0,4,2100.0,2076.0,1.01145271445377,BORDERLINE,-32.920696,-60.76834
Otro,588.0,3,621.0,650.0,0.9552547865367972,BORDERLINE,-32.900767200000004,-60.690131199999996
Otro,800.0,3,650.0,651.0,0.997723295306347,BORDERLINE,-32.898156500000006,-60.68823469999999
Martin,500.0,4,700.0,696.0,1.0053652946418452,BORDERLINE,-32.87608,-60.688232
Otro,620.65,4,1047.0,938.0,1.1160628577123934,BORDERLINE,-32.903008,-60.6829
Otro,278.0,1,432.0,559.0,0.7718294082322922,BORDERLINE,-32.8783768,-60.694028200000005
Otro,399.0,5,471.0,802.0,0.5876768485388176,UNDERPRICED,-32.952957,-60.635468
Otro,520.0,3,442.0,503.0,0.8793757397953698,BORDERLINE,-33.00300059999999,-60.6372436
Otro,364.0,5,1813.0,1675.0,1.0827003374763757,BORDERLINE,-32.924217,-60.745327
Otro,373.45,4,1178.0,1396.0,0.8440898153712532,BORDERLINE,-32.918526,-60.773266
Otro,500.0,3,1180.0,966.0,1.2209258603563018,BORDERLINE,-32.91436,-60.757183
Otro,462.0,3,1775.0,1608.0,1.1037362557427481,BORDERLINE,-32.898277,-60.747463
Otro,495.0,4,475.0,550.0,0.862400706503672,BORDERLINE,-32.96766,-60.690945
Otro,50.0,1,600.0,701.0,0.8562049405675825,BORDERLINE,-32.874214,-60.73571
Otro,705.0,3,411.0,651.0,0.631405350037332,UNDERPRICED,-32.894742666666666,-60.68791583333333
Otro,865.0,15,867.0,758.0,1.1445664752049254,BORDERLINE,-32.94301,-60.637024
Otro,365.0,6,1890.0,1606.0,1.176971303830719,BORDERLINE,-32.94838036363636,-60.65243309090909
Otro,470.0,4,702.0,684.0,1.027247981474759,BORDERLINE,-32.87903,-60.693737
Otro,650.0,8,1062.0,1230.0,0.8632608529047502,BORDERLINE,-32.93336,-60.658028
Otro,1078.0,3,445.0,538.0,0.8282563600738347,BORDERLINE,-32.977844,-60.632122
Otro,345.0,5,1072.0,1222.0,0.8779655353628153,BORDERLINE,-32.923766500000006,-60.753123833333326
Otro,546.0,14,897.0,887.0,1.0116193882822875,BORDERLINE,-32.95372,-60.635643
Otro,620.0,3,403.0,462.0,0.8732179917519536,BORDERLINE,-32.93493683333333,-60.69444416666667
Otro,500.0,5,540.0,624.0,0.8651745762670905,BORDERLINE,-33.002567,-60.627106
Otro,480.0,4,1583.0,1479.0,1.0703075342072865,BORDERLINE,-32.91809,-60.776024
Pellegrini,1413.0,15,920.0,945.0,0.9736821811653447,BORDERLINE,-32.9581544,-60.637279
Otro,360.0,3,417.0,638.0,0.6535185026898722,UNDERPRICED,-33.00300059999999,-60.6372436
Otro,557.0,6,1526.0,1333.0,1.1449371081565558,BORDERLINE,-32.89848,-60.685303
Otro,412.0,4,1165.0,1068.0,1.0912938182823544,BORDERLINE,-33.00247,-60.62628
Otro,550.0,3,582.0,692.0,0.8406689987214392,BORDERLINE,-32.97789,-60.647198
Otro,550.0,4,582.0,676.0,0.8602483249281648,BORDERLINE,-32.8741484,-60.695624599999995
Otro,280.0,6,1036.0,880.0,1.1768922867728075,BORDERLINE,-32.88987685714285,-60.69333828571428
Otro,60.0,1,2967.0,2629.0,1.1284025777470654,BORDERLINE,-32.9138498,-60.766260599999995
Otro,350.0,10,1857.0,1585.0,1.1718849930242992,BORDERLINE,-32.953625,-60.63585
Otro,370.0,5,527.0,806.0,0.6539984468837096,UNDERPRICED,-32.907439,-60.687911111111106
Pellegrini,355.0,4,2000.0,1851.0,1.0804692267698999,BORDERLINE,-32.933453,-60.75555
Otro,385.0,4,2182.0,2095.0,1.0413687492289994,BORDERLINE,-32.91835,-60.776073
Otro,602.0,3,448.0,559.0,0.8016743161035595,BORDERLINE,-32.97469,-60.643093
Otro,419.0,3,704.0,1049.0,0.6708611473158388,UNDERPRICED,-32.912617,-60.770874
Otro,300.0,5,1600.0,1316.0,1.2158650498776449,BORDERLINE,-32.88108,-60.690063
Otro,500.0,5,960.0,1070.0,0.8969760973309073,BORDERLINE,-32.92212883333334,-60.740839666666666
Otro,273.0,3,3040.0,2977.0,1.0211041448391072,BORDERLINE,-32.918324,-60.776085
Otro,385.0,6,1026.0,1194.0,0.859078216359652,BORDERLINE,-32.923504,-60.753246
Otro,465.0,4,1505.0,1320.0,1.140491063069854,BORDERLINE,-32.905666,-60.757313
Otro,650.0,8,1062.0,1161.0,0.914261728088008,BORDERLINE,-32.94838036363636,-60.65243309090909
Otro,684.0,4,599.0,641.0,0.9352764936083616,BORDERLINE,-32.89370685714285,-60.69144357142858
Otro,468.0,3,470.0,553.0,0.8501148968511547,BORDERLINE,-32.878563,-60.689327
Otro,414.0,4,676.0,754.0,0.8971177046016584,BORDERLINE,-32.997852,-60.634266
Otro,563.0,3,462.0,536.0,0.8622070679611527,BORDERLINE,-32.91806833333333,-60.67346283333333
Otro,888.0,6,664.0,695.0,0.9559703446308809,BORDERLINE,-32.901573,-60.686592
Otro,364.0,5,1813.0,1670.0,1.0855581478909295,BORDERLINE,-32.924507,-60.74254
Otro,725.0,4,897.0,876.0,1.0235699407496883,BORDERLINE,-32.903008,-60.6829
Otro,779.0,3,526.0,572.0,0.920700865040695,BORDERLINE,-32.921017,-60.741333
Otro,887.0,5,665.0,720.0,0.9242848803099057,BORDERLINE,-32.90165,-60.68672
Otro,367.5,5,1565.0,1605.0,0.9750288139592875,BORDERLINE,-32.898277,-60.747463
Otro,450.0,3,4000.0,3458.0,1.1567115662126874,BORDERLINE,-32.92177,-60.77066
Otro,400.0,4,2588.0,2052.0,1.2610838215236178,BORDERLINE,-32.92385,-60.7479
Otro,580.0,3,483.0,492.0,0.9805206166939181,BORDERLINE,-33.00457,-60.676525
Otro,355.99,4,1910.0,1554.0,1.2290077425652735,BORDERLINE,-32.87969,-60.688194
Otro,365.0,8,1890.0,1680.0,1.1250624783479992,BORDERLINE,-32.948116,-60.652905
