id,tipo,v3_usd,v4_usd,v41_usd,n_zonal,recomendacion
rio_puerto_norte,manual,2100,2013,,0,mantener v3
rio_bv_oro̱o,manual,1850,1259,1667.0,301,usar v4.1
parque_espana_norte,manual,1850,1499,1487.0,145,usar v4.1
parque_espana_sur,manual,1750,2262,1854.0,181,usar v4.1
martin_rio_urquiza,manual,1850,1499,1641.0,236,usar v4.1
martin_centro_residencial,manual,1480,,1766.0,390,usar v4.1
martin_plaza_lopez,manual,1520,,1815.0,355,usar v4.1
martin_av_pellegrini_bajo,manual,1650,1595,1804.0,498,usar v4.1
centro_mendoza_maipu,manual,1550,1345,1638.0,288,usar v4.1
centro_san_juan_entre_rios,manual,1600,,1500.0,253,usar v4.1
peatonal_cordoba_centro,manual,1700,1252,1492.0,241,usar v4.1
pellegrini_libertad,manual,1580,1525,1814.0,459,usar v4.1
pellegrini_paraguay,manual,1700,1633,1582.0,375,usar v4.1
pellegrini_oro̱o,manual,1750,1805,1939.0,498,usar v4.1
abasto_corazon_residencial,manual,1380,1764,1725.0,165,usar v4.1
abasto_sur_27feb,manual,1280,1294,1995.0,36,usar v4.1
sexta_unr_cur,manual,1250,,1173.0,181,usar v4.1
sexta_pellegrini_sur,manual,1400,1284,1774.0,335,usar v4.1
lourdes_parque_independencia,manual,1450,1605,1900.0,443,usar v4.1
lourdes_core_santiago,manual,1520,1388,1755.0,217,usar v4.1
pichincha_centro_aristobulo,manual,1680,2116,2000.0,340,usar v4.1
pichincha_norte_brown,manual,1550,1795,2122.0,321,usar v4.1
echesortu_plaza_costa,manual,1420,1102,1043.0,89,usar v4.1
echesortu_mendoza_avellaneda,manual,1350,920,817.0,71,usar v4.1
macrocentro_salta_lagos,manual,1620,,1838.0,318,usar v4.1
macrocentro_catamarca_espana,manual,1580,1487,1700.0,301,usar v4.1
macrocentro_tucuman_italia,manual,1650,,1580.0,255,usar v4.1
macrocentro_3febrero_francia,manual,1400,1769,1733.0,239,usar v4.1
republica_sexta_interno,manual,1180,1054,1169.0,136,usar v4.1
zona_sur_san_martin_saavedra,manual,1100,751,716.0,78,usar v4.1
zona_sur_hospitales,manual,1150,729,733.0,88,usar v4.1
zona_norte_alberdi_rio,manual,1450,1487,,0,mantener v3
zona_norte_arroyito_central,manual,1300,1533,,0,mantener v3
fisherton_evita,manual,1650,1650,,0,mantener v3
fisherton_wilder,manual,1350,1350,,0,mantener v3
zona_oeste_godoy,manual,1100,705,657.0,38,usar v4.1
zona_oeste_ludue̱a,manual,1050,669,,0,mantener v3
zona_oeste_avellaneda_oeste,manual,1150,670,,0,mantener v3
zona_oeste_empalme,manual,1000,776,,0,mantener v3
zona_oeste_felipe_more,manual,1200,840,758.0,60,usar v4.1
zona_oeste_mendoza_oeste,manual,1100,685,525.0,30,usar v4.1
