ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
15476,2003.0,1.0,235.0,20.0,,-32.9555772,-60.62912833333334,9 de Julio 322
16868,2008.0,1.0,235.0,19.0,,-32.95566783333333,-60.62889983333333,Ayacucho 1390
18994,2013.0,1.0,235.0,9.0,,-32.954735,-60.6289384,3 de Febrero 325
19787,2016.0,1.0,235.0,33.0,,-32.954850666666665,-60.62966733333334,Leandro N. Alem 1354
20873,2018.0,1.0,235.0,17.0,,-32.95534357142857,-60.62899228571429,Ayacucho 1364
21043,2019.0,1.0,235.0,2.0,,-32.95469871428571,-60.62969271428573,Leandro N. Alem 1308
22080,2022.0,1.0,235.0,28.0,,-32.955251000000004,-60.62992575,Leandro N. Alem 1367
2690,1968.0,1.0,235.0,19.0,,-32.95566783333333,-60.62889983333333,Ayacucho 1390
2859,1968.0,1.0,235.0,1.0,,-32.9546158,-60.6298042,3 de Febrero 399
3644,1970.0,1.0,235.0,3.0,,-32.954711,-60.629591000000005,3 de Febrero 379
4621,1973.0,1.0,235.0,27.0,,-32.95531088888889,-60.629957222222224,Leandro N. Alem 1373
5461,1974.0,1.0,235.0,6.0,,-32.954770624999995,-60.62926350000001,3 de Febrero 351
5593,1975.0,1.0,235.0,31.0,,-32.955088,-60.62964,Leandro N. Alem 1345
7211,1978.0,1.0,235.0,13.0,,-32.9549576,-60.6289518,3 de Febrero 323
8002,1979.0,1.0,235.0,4.0,,-32.954725800000006,-60.6295014,3 de Febrero 371
9238,1982.0,1.0,235.0,13.0,,-32.9549576,-60.6289518,3 de Febrero 323
9614,1982.0,1.0,235.0,10.0,,-32.9547526,-60.628837,3 de Febrero 317
13558,1995.0,1.0,236.0,32.0,,-32.9553576,-60.6284952,Ayacucho 1355
13752,1996.0,1.0,236.0,29.0,,-32.95557300000001,-60.62851214285714,Ayacucho 1375
14863,2000.0,1.0,236.0,35.0,,-32.9551342,-60.62844,Ayacucho 1333
1539,1963.0,1.0,236.0,1.0,,-32.95482199999999,-60.62839620000001,3 de Febrero 295
15549,2003.0,1.0,236.0,19.0,,-32.95578516666667,-60.6275285,Cristóbal Colón 1382
15681,2004.0,1.0,236.0,24.0,,-32.955622,-60.628255,9 de Julio 278
16965,2008.0,1.0,236.0,20.0,,-32.955885875,-60.627628,Cristóbal Colón 1391
17645,2010.0,1.0,236.0,6.0,,-32.955009,-60.627835,3 de Febrero 241
2560,1967.0,1.0,236.0,14.0,,-32.9553202,-60.627454,Cristóbal Colón 1332
2985,1969.0,1.0,236.0,36.0,,-32.95501557142857,-60.62841400000001,Ayacucho 1321
3774,1971.0,1.0,236.0,34.0,,-32.95521557142857,-60.628372142857145,Ayacucho 1339
4002,1971.0,1.0,236.0,3.0,,-32.95498966666667,-60.62815033333333,3 de Febrero 269
4810,1973.0,1.0,236.0,27.0,,-32.955747,-60.628564,Ayacucho 1375
5671,1975.0,1.0,236.0,27.0,,-32.955747,-60.628564,Ayacucho 1375
6535,1977.0,1.0,236.0,13.0,,-32.95506258333332,-60.62759141666666,Cristóbal Colón 1317
7169,1978.0,1.0,236.0,31.0,,-32.955432,-60.62848433333334,Ayacucho 1361
10649,1985.0,1.0,237.0,23.0,,-32.9560406,-60.6269364,9 de Julio 172
1128,1995.0,1.0,237.0,31.0,,-32.95548716,-60.62664292,3 de Febrero 161
13097,1993.0,1.0,237.0,32.0,,-32.955252,-60.626987,Cristobal Colon 1311
13677,1995.0,1.0,237.0,20.0,,-32.9558132,-60.6265586,9 de Julio 144
14010,1997.0,1.0,237.0,32.0,,-32.955252,-60.626987,Cristobal Colon 1311
14014,1997.0,1.0,237.0,15.0,,-32.95549533333334,-60.62615566666667,Necochea 1328
1423,1962.0,1.0,237.0,17.0,,-32.956024166666666,-60.62616316666666,Necochea 1384
14280,1997.0,1.0,237.0,9.0,,-32.9551765,-60.62626399999999,3 de Febrero 137
14449,1998.0,1.0,237.0,23.0,,-32.95572079162879,-60.6268534269359,Cristóbal Colón 1361
15294,2002.0,1.0,237.0,23.0,,-32.955768717582984,-60.62696806967495,Cristóbal Colón 1369
17093,2009.0,1.0,237.0,32.0,,-32.95535001797713,-60.62655519256217,3 de Febrero 157
17492,2010.0,1.0,237.0,19.0,,-32.956043364578086,-60.62648634783307,9 de Julio 134
17813,2010.0,1.0,237.0,18.0,,-32.956062,-60.626375,Necochea 1381
1858,1964.0,1.0,237.0,32.0,,-32.955252,-60.626987,Cristobal Colon 1311
20026,2016.0,1.0,237.0,14.0,,-32.955422500000005,-60.626146,Necochea 1320
20194,2017.0,1.0,237.0,23.0,,-32.9560406,-60.6269364,9 de Julio 172
22435,2023.0,1.0,237.0,23.0,,-32.9560406,-60.6269364,9 de Julio 172
2258,1966.0,1.0,237.0,17.0,,-32.956024166666666,-60.62616316666666,Necochea 1384
2270,2000.0,1.0,237.0,21.0,,-32.95606239999999,-60.6267556,9 de Julio 158
2285,1966.0,1.0,237.0,18.0,,-32.956062,-60.626375,Necochea 1381
2853,1968.0,1.0,237.0,21.0,,-32.95606239999999,-60.6267556,9 de Julio 158
3031,1969.0,1.0,237.0,30.0,,-32.955525900000005,-60.6269768,Cristóbal Colón 1343
3326,1970.0,1.0,237.0,3.0,,-32.95511066666666,-60.62675049999999,3 de Febrero 175
3923,1978.0,1.0,237.0,15.0,,-32.95549533333334,-60.62615566666667,Necochea 1328
4226,1972.0,1.0,237.0,1.0,,-32.9550474,-60.627071,Cristóbal Colón 1301
4897,1973.0,1.0,237.0,20.0,,-32.9558132,-60.6265586,9 de Julio 144
5121,1974.0,1.0,237.0,33.0,,-32.95515685714285,-60.62697271428571,Cristóbal Colón 1305
5883,1976.0,1.0,237.0,16.0,,-32.95591875,-60.62626825,Necochea 1376
5922,1974.0,1.0,237.0,15.0,,-32.95549533333334,-60.62615566666667,Necochea 1328
5980,1975.0,1.0,237.0,32.0,,-32.955364082995615,-60.62637787934295,3 de Febrero 143
6697,1977.0,1.0,237.0,2.0,,-32.955051,-60.626968,3 de Febrero 193
7226,1978.0,1.0,237.0,12.0,,-32.9552372,-60.625952,3 de Febrero 111
7745,1979.0,1.0,237.0,29.0,,-32.95562283333334,-60.627157833333335,Cristóbal Colón 1359
8272,1980.0,1.0,237.0,13.0,,-32.95526257142858,-60.62636935714285,3 de Febrero 143
9312,1982.0,1.0,237.0,7.0,,-32.9551504,-60.62646380000001,3 de Febrero 153
9676,1983.0,1.0,237.0,15.0,,-32.95549533333334,-60.62615566666667,Necochea 1328
10348,1984.0,1.0,238.0,6.0,,-32.9554854,-60.62521039999999,3 de Febrero 59
10788,1985.0,1.0,238.0,21.0,,-32.956250600000004,-60.6247594,Chacabuco 1382
11989,1989.0,1.0,238.0,12.0,,-32.9554944,-60.624684,3 de Febrero 17
12859,1992.0,1.0,238.0,19.0,,-32.956091,-60.624788,9 de Julio 32
15171,2001.0,1.0,238.0,16.0,,-32.955661666666664,-60.62472216666666,Necochea 1293
15469,2003.0,1.0,238.0,3.0,,-32.95540714285714,-60.625454000000005,3 de Febrero 79
16247,2006.0,1.0,238.0,2.0,,-32.9553304,-60.625532,3 de Febrero 85
17030,2008.0,1.0,238.0,21.0,,-32.956250600000004,-60.6247594,Chacabuco 1382
17171,2009.0,1.0,238.0,23.0,,-32.955512,-60.625604714285714,Necochea 1304
17231,2009.0,1.0,238.0,1.0,,-32.9552994,-60.6257174,Necochea 1301
1802,1962.0,1.0,238.0,1.0,,-32.9552994,-60.6257174,Necochea 1301
18949,2013.0,1.0,238.0,18.0,,-32.955946,-60.624753,Chacabuco 1361
19321,2015.0,1.0,238.0,17.0,,-32.9557345,-60.624756,Necochea 1293
20415,2017.0,1.0,238.0,18.0,,-32.955946,-60.624753,Chacabuco 1361
20828,2018.0,1.0,238.0,8.0,,-32.95555857142857,-60.62499271428571,Necochea 1293
4232,1972.0,1.0,238.0,20.0,,-32.956168,-60.624806,9 de Julio 31
6334,1976.0,1.0,238.0,15.0,,-32.95560833333334,-60.62465183333334,Chacabuco 1312
9057,1981.0,1.0,238.0,7.0,,-32.95550060000001,-60.62512099999999,3 de Febrero 51
13194,1994.0,1.0,239.0,16.0,,-32.952219,-60.65429025,Balcarce 1488
15504,2003.0,1.0,239.0,10.0,,-32.95168616666667,-60.6542275,Balcarce 1432
15721,2004.0,1.0,239.0,6.0,,-32.951528125,-60.654214625,9 de Julio 2117
16093,2006.0,1.0,239.0,13.0,,-32.951930874999995,-60.65424287500001,Balcarce 1458
17510,2010.0,1.0,239.0,15.0,,-32.95210757142858,-60.65423885714286,Balcarce 1476
18518,2012.0,1.0,239.0,20.0,,-32.951835992643595,-60.65473902704968,Bulevar Nicasio Oroño 1453
2276,1966.0,1.0,239.0,8.0,,-32.95146580000001,-60.6539856,Balcarce 1404
3406,1970.0,1.0,239.0,9.0,,-32.951624625,-60.654112125000005,Balcarce 1422
8135,1979.0,1.0,239.0,11.0,,-32.95175611111111,-60.65424411111111,Balcarce 1440
8647,1980.0,1.0,239.0,3.0,,-32.9513644,-60.6545348,9 de Julio 2151
9202,1981.0,1.0,239.0,14.0,,-32.95200122222222,-60.65428511111112,Balcarce 1466
10208,1984.0,1.0,240.0,32.0,,-32.952342800000004,-60.6538325,Zeballos 2094
1194,1960.0,1.0,240.0,4.0,,-32.951738666666664,-60.65348566666668,9 de Julio 2079
13892,1996.0,1.0,240.0,16.0,,-32.952303,-60.65286383333333,Mariano Moreno 1470
15437,2003.0,1.0,240.0,20.0,,-32.952642600000004,-60.6528728,Zeballos 2002
16998,2008.0,1.0,240.0,37.0,,-32.951846875,-60.65362087500001,Balcarce 1433
17205,2009.0,1.0,240.0,14.0,,-32.95214,-60.65283385714286,Mariano Moreno 1452
1762,1964.0,1.0,240.0,5.0,,-32.9517566,-60.6533788,9 de Julio 2069
19947,2016.0,1.0,240.0,6.0,,-32.9517885,-60.65321983333333,9 de Julio 2053
203,1953.0,1.0,240.0,17.0,,-32.952402666666664,-60.65285583333333,Mariano Moreno 1480
21291,2020.0,1.0,240.0,36.0,,-32.95200292706536,-60.65343441988292,Zeballos 2050
2280,1966.0,1.0,240.0,10.0,,-32.9517975,-60.652681,Mariano Moreno 1412
2848,1969.0,1.0,240.0,12.0,,-32.9519585,-60.652885100000006,Mariano Moreno 1434
2948,1968.0,1.0,240.0,15.0,,-32.95221083333334,-60.6528585,Mariano Moreno 1460
3722,1971.0,1.0,240.0,22.0,,-32.952553599999995,-60.65308560000001,Zeballos 2024
393,1959.0,1.0,240.0,1.0,,-32.951545,-60.653733,Balcarce 1405
6007,1975.0,1.0,240.0,27.0,,-32.9523233,-60.65356220000001,Zeballos 2050
7351,1978.0,1.0,240.0,36.0,,-32.951899,-60.653728666666666,Balcarce 1441
8213,1980.0,1.0,240.0,24.0,,-32.952447600000006,-60.6532692,Zeballos 2050
9178,1981.0,1.0,240.0,18.0,,-32.95249428571429,-60.65283385714286,Mariano Moreno 1490
16026,2005.0,1.0,241.0,10.0,,-32.952037375,-60.65145125,9 de Julio 1921
1753,1964.0,1.0,241.0,4.0,,-32.95200833333334,-60.652102000000006,9 de Julio 1975
19234,2014.0,1.0,241.0,6.0,,-32.952076500000004,-60.651868125,9 de Julio 1953
19877,2016.0,1.0,241.0,28.0,,-32.952707600000004,-60.6524172,Zeballos 1984
19954,2016.0,1.0,241.0,5.0,,-32.95207266666667,-60.652003666666666,9 de Julio 1965
20792,2018.0,1.0,241.0,30.0,,-32.95257025,-60.65248187499999,Zeballos 1992
20846,2018.0,1.0,241.0,27.0,,-32.95268266666667,-60.65232233333334,Zeballos 1976
2505,1967.0,1.0,241.0,31.0,,-32.9524868,-60.652521,Mariano Moreno 1479
2979,1970.0,1.0,241.0,3.0,,-32.95196171428571,-60.65220085714286,9 de Julio 1983
2987,1969.0,1.0,241.0,13.0,,-32.952250799999995,-60.6514643,Manuel Dorrego 1438
3360,1969.0,1.0,241.0,1.0,,-32.9517692,-60.652356,9 de Julio 1999
4173,1972.0,1.0,241.0,33.0,,-32.95235,-60.652365200000006,Mariano Moreno 1461
5193,1974.0,1.0,241.0,25.0,,-32.95259442857142,-60.65207014285714,Zeballos 1958
5310,1974.0,1.0,241.0,18.0,,-32.9527608,-60.6516134,Zeballos 1918
5940,1975.0,1.0,241.0,31.0,,-32.9524868,-60.652521,Mariano Moreno 1479
6383,1976.0,1.0,241.0,26.0,,-32.95266066666667,-60.65222249999999,Zeballos 1970
6774,1977.0,1.0,241.0,15.0,,-32.952440900000006,-60.6515611,Manuel Dorrego 1460
7089,1978.0,1.0,241.0,25.0,,-32.95259442857142,-60.65207014285714,Zeballos 1958
7538,1978.0,1.0,241.0,1.0,,-32.9517692,-60.652356,9 de Julio 1999
8591,1980.0,1.0,261.0,32.0,,-32.9525885,-60.655176833333336,Bulevar Nicasio Oroño 1515
10228,1984.0,1.0,242.0,34.0,,-32.95224128571429,-60.65097028571428,Manuel Dorrego 1423
10883,1985.0,1.0,242.0,31.0,,-32.9525228,-60.651013,Manuel Dorrego 1455
11187,1986.0,1.0,242.0,33.0,,-32.9523525,-60.65095766666667,Manuel Dorrego 1435
11445,1987.0,1.0,242.0,31.0,,-32.9525228,-60.651013,Manuel Dorrego 1455
16898,2008.0,1.0,242.0,31.0,,-32.9525228,-60.651013,Manuel Dorrego 1455
1697,1963.0,1.0,242.0,3.0,,-32.95209,-60.65074919999999,9 de Julio 1879
17378,2009.0,1.0,242.0,32.0,,-32.952439222222225,-60.65098477777777,Manuel Dorrego 1445
17795,2010.0,1.0,242.0,35.0,,-32.952138000000005,-60.6510174,Manuel Dorrego 1413
18766,2013.0,1.0,242.0,7.0,,-32.95231466666667,-60.65031883333333,9 de Julio 1839
20008,2016.0,1.0,242.0,2.0,,-32.95211357142857,-60.65085714285714,9 de Julio 1889
22209,2023.0,1.0,242.0,19.0,,-32.953052285714286,-60.65040271428571,Zeballos 1830
2693,1968.0,1.0,242.0,4.0,,-32.952306111111106,-60.65066766666666,9 de Julio 1869
2878,1968.0,1.0,242.0,8.0,,-32.95228028571429,-60.65018371428572,9 de Julio 1827
6666,1977.0,1.0,242.0,18.0,,-32.953067000000004,-60.650310000000005,Zeballos 1822
6936,1976.0,1.0,242.0,3.0,,-32.95209,-60.65074919999999,9 de Julio 1879
725,1958.0,1.0,242.0,17.0,,-32.9530502,-60.650172,Italia 1490
7680,1979.0,1.0,242.0,30.0,,-32.9525918,-60.65113699999999,Manuel Dorrego 1465
7879,1979.0,1.0,242.0,26.0,,-32.95291816666667,-60.651095,Zeballos 1892
8247,1980.0,1.0,242.0,16.0,,-32.952835,-60.650091,Italia 1468
1008,1960.0,1.0,243.0,29.0,,-32.95272883830678,-60.649448253447446,Italia 1443
1131,1960.0,1.0,243.0,28.0,,-32.953190666666664,-60.64977483333333,Zeballos 1790
1146,1960.0,1.0,243.0,1.0,,-32.95231985714286,-60.649662,Italia 1409
1214,1961.0,1.0,243.0,28.0,,-32.953190666666664,-60.64977483333333,Zeballos 1790
12535,1991.0,1.0,243.0,2.0,,-32.9523785,-60.649561166666665,9 de Julio 1789
12609,1991.0,1.0,243.0,3.0,,-32.952407666666666,-60.64947016666667,9 de Julio 1781
13485,1995.0,1.0,243.0,8.0,,-32.952554375,-60.648984,9 de Julio 1741
13974,1996.0,1.0,243.0,16.0,,-32.9528274,-60.64866380000001,España 1442
14007,1997.0,1.0,243.0,30.0,,-32.9526063,-60.6495501,Italia 1433
1457,1962.0,1.0,243.0,16.0,,-32.9528274,-60.64866380000001,España 1442
15997,2005.0,1.0,243.0,10.0,,-32.95248757142857,-60.64871728571429,9 de Julio 1719
16072,2006.0,1.0,243.0,19.0,,-32.9532170909091,-60.64886054545455,España 1473
18091,2011.0,1.0,243.0,27.0,,-32.9532126,-60.64958359999999,Zeballos 1774
18875,2013.0,1.0,243.0,24.0,,-32.95327733333334,-60.649148833333335,Zeballos 1738
19692,2015.0,1.0,243.0,21.0,,-32.95319516666666,-60.649007666666655,Zeballos 1728
20126,2017.0,1.0,243.0,25.0,,-32.953201428571425,-60.64922957142857,Zeballos 1746
2014,2025.0,1.0,243.0,6.0,,-32.95260490909091,-60.649184363636365,9 de Julio 1755
22524,2024.0,1.0,243.0,26.0,,-32.9531564,-60.64874640000001,España 1476
2989,1969.0,1.0,243.0,28.0,,-32.95284551755827,-60.64973721408887,Italia 1461
3330,1969.0,1.0,243.0,26.0,,-32.95317490794634,-60.64941642860149,Zeballos 1760
3840,1971.0,1.0,243.0,4.0,,-32.952461666666665,-60.64938633333333,9 de Julio 1775
4248,1972.0,1.0,243.0,13.0,,-32.9525754,-60.6486224,España 1418
440,1956.0,1.0,243.0,9.0,,-32.9524725,-60.64886516666667,9 de Julio 1731
4794,1973.0,1.0,243.0,26.0,,-32.95325234085056,-60.649454674884495,Zeballos 1762
6366,1976.0,1.0,243.0,27.0,,-32.9532126,-60.64958359999999,Zeballos 1774
6374,1976.0,1.0,243.0,28.0,,-32.953190666666664,-60.64977483333333,Zeballos 1790
679,1958.0,1.0,254.0,28.0,,-32.9560302,-60.634477,Zeballos 680
8710,1980.0,1.0,243.0,20.0,,-32.95336,-60.64876300000001,España 1476
8986,1981.0,1.0,243.0,20.0,,-32.95336,-60.64876300000001,España 1476
9187,1981.0,1.0,243.0,31.0,,-32.952517500000006,-60.649654875,Italia 1427
9887,1983.0,1.0,243.0,1.0,,-32.95231985714286,-60.649662,Italia 1409
11073,1986.0,1.0,244.0,15.0,,-32.9531986,-60.6474694,Presidente Roca 1458
11323,1987.0,1.0,244.0,30.0,,-32.952966,-60.648153,España 1443
13038,1993.0,1.0,244.0,16.0,,-32.953429799999995,-60.64734219999999,Presidente Roca 1476
13058,1993.0,1.0,244.0,25.0,,-32.953400200000004,-60.6484884,España 1493
13443,1994.0,1.0,244.0,20.0,,-32.953485666666666,-60.64793533333333,Zeballos 1652
15232,2002.0,1.0,244.0,9.0,,-32.9527,-60.647301,9 de Julio 1617
154,1953.0,1.0,244.0,19.0,,-32.9535375,-60.64774475,Zeballos 1636
16055,2005.0,1.0,244.0,6.0,,-32.9528386,-60.6476317,9 de Julio 1641
16577,2007.0,1.0,244.0,16.0,,-32.953429799999995,-60.64734219999999,Presidente Roca 1476
16793,2008.0,1.0,244.0,14.0,,-32.953084,-60.64753,Presidente Roca 1448
1700,1963.0,1.0,244.0,10.0,,-32.95271677777778,-60.64719811111112,9 de Julio 1609
17413,2009.0,1.0,244.0,6.0,,-32.9528386,-60.6476317,9 de Julio 1641
18188,2011.0,1.0,244.0,8.0,,-32.952772714285715,-60.64741714285714,9 de Julio 1625
18454,2012.0,1.0,244.0,1.0,,-32.952494200000004,-60.6482936,España 1401
18836,2013.0,1.0,244.0,31.0,,-32.952850999999995,-60.648264000000005,España 1435
19657,2015.0,1.0,244.0,5.0,,-32.95273614285714,-60.64772128571429,9 de Julio 1651
20636,2018.0,1.0,244.0,4.0,,-32.952684,-60.647849,9 de Julio 1646
2681,1968.0,1.0,244.0,16.0,,-32.95333688586817,-60.64777053321593,Zeballos 1640
3398,1970.0,1.0,244.0,11.0,,-32.952858142857146,-60.64729257142858,Presidente Roca 1420
4435,1972.0,1.0,244.0,3.0,,-32.952661,-60.647985,9 de Julio 1666
503,1992.0,1.0,244.0,18.0,,-32.953596,-60.647483,Zeballos 1614
632,1977.0,1.0,244.0,13.0,,-32.952965,-60.647636,9 de Julio 1641
9342,1982.0,1.0,244.0,2.0,,-32.952582,-60.64810333333333,9 de Julio 1683
10256,1984.0,1.0,245.0,16.0,,-32.953315999999994,-60.64611933333333,Paraguay 1448
13913,1996.0,1.0,245.0,15.0,,-32.95319771428571,-60.64618671428571,9 de Julio 1535
15903,2005.0,1.0,245.0,26.0,,-32.953667499999995,-60.64643933333334,Zeballos 1536
16075,2006.0,1.0,245.0,23.0,,-32.95379766666667,-60.64615533333333,Zeballos 1520
17576,2010.0,1.0,245.0,16.0,,-32.953315999999994,-60.64611933333333,Paraguay 1448
18190,2012.0,1.0,245.0,21.0,,-32.95375740000001,-60.64601839999999,Paraguay 1486
18883,2013.0,1.0,245.0,18.0,,-32.95347914285714,-60.64626242857143,Zeballos 1536
19607,2015.0,1.0,245.0,14.0,,-32.9530945,-60.6461675,9 de Julio 1535
19944,2016.0,1.0,245.0,24.0,,-32.9537862,-60.646256400000006,Zeballos 1528
20703,2018.0,1.0,245.0,37.0,,-32.953267000000004,-60.6468902,Presidente Roca 1451
21023,2019.0,1.0,245.0,7.0,,-32.952853,-60.64627728571429,9 de Julio 1549
21206,2019.0,1.0,245.0,4.0,,-32.9528114,-60.6466018,9 de Julio 1569
21604,2022.0,1.0,245.0,20.0,,-32.95366985714286,-60.646113571428565,Paraguay 1480
3088,1969.0,1.0,245.0,16.0,,-32.953315999999994,-60.64611933333333,Paraguay 1448
3424,1970.0,1.0,245.0,11.0,,-32.9529386,-60.6458732,9 de Julio 1513
4071,1972.0,1.0,245.0,12.0,,-32.952957000000005,-60.6457722,9 de Julio 1503
5110,1974.0,1.0,245.0,6.0,,-32.952921999999994,-60.64638742857143,9 de Julio 1557
7530,1978.0,1.0,245.0,38.0,,-32.95321054545454,-60.64659881818182,9 de Julio 1569
7922,1979.0,1.0,245.0,13.0,,-32.952989083333335,-60.64606066666666,9 de Julio 1527
9255,1981.0,1.0,245.0,3.0,,-32.9527918,-60.6467104,9 de Julio 1587
9674,1982.0,1.0,245.0,5.0,,-32.95288733333334,-60.646515,9 de Julio 1569
10602,1985.0,1.0,246.0,19.0,,-32.953940666666675,-60.644669666666665,Corrientes 1482
12430,1991.0,1.0,246.0,9.0,,-32.95330066666667,-60.644757166666665,9 de Julio 1435
12883,1992.0,1.0,246.0,5.0,,-32.953169200000005,-60.64511259999999,9 de Julio 1465
14451,1998.0,1.0,246.0,20.0,,-32.9540228,-60.6446352,Corrientes 1490
1473,1962.0,1.0,246.0,16.0,,-32.9535526,-60.6448265,Corrientes 1450
15952,2005.0,1.0,246.0,3.0,,-32.953139,-60.64531366666666,9 de Julio 1481
16458,2007.0,1.0,246.0,4.0,,-32.9531528,-60.64520279999999,9 de Julio 1473
18641,2012.0,1.0,246.0,13.0,,-32.953356142857146,-60.64453814285714,Corrientes 1426
19538,2015.0,1.0,246.0,6.0,,-32.95330325,-60.64499537499999,9 de Julio 1455
21230,2020.0,1.0,246.0,39.0,,-32.95373871428571,-60.645594,Paraguay 1475
3056,1969.0,1.0,246.0,32.0,,-32.95393240000001,-60.6457358,Zeballos 1500
555,1957.0,1.0,246.0,32.0,,-32.95393240000001,-60.6457358,Zeballos 1500
581,1957.0,1.0,246.0,11.0,,-32.953214,-60.64453583333333,9 de Julio 1419
645,1957.0,1.0,246.0,18.0,,-32.953851125,-60.644649125,Corrientes 1474
6692,1977.0,1.0,246.0,36.0,,-32.953499,-60.645367,Paraguay 1479
7185,1978.0,1.0,246.0,25.0,,-32.9539468,-60.64500760000001,Zeballos 1440
7499,1978.0,1.0,246.0,30.0,,-32.95393299999999,-60.64551342857143,Zeballos 1482
8549,1980.0,1.0,246.0,27.0,,-32.95385125,-60.645172875,Zeballos 1456
8562,1980.0,1.0,246.0,25.0,,-32.9539468,-60.64500760000001,Zeballos 1440
885,1959.0,1.0,246.0,31.0,,-32.95390214285714,-60.645597,Zeballos 1488
983,1960.0,1.0,246.0,8.0,,-32.9533375,-60.64486133333333,9 de Julio 1443
9960,1983.0,1.0,246.0,17.0,,-32.9537017,-60.64490639999999,Zeballos 1436
10173,1984.0,1.0,247.0,28.0,,-32.954176333333336,-60.64419366666667,Zeballos 1390
1088,1999.0,1.0,247.0,4.0,,-32.95351355555555,-60.643887,Entre Ríos 1393
1177,1960.0,1.0,247.0,11.0,,-32.9535592,-60.643081,Entre Ríos 1397
13294,1994.0,1.0,247.0,26.0,,-32.95414485714285,-60.64397185714286,Zeballos 1381
16491,2008.0,1.0,247.0,24.0,,-32.9541906,-60.643766600000006,Zeballos 1375
17933,2011.0,1.0,247.0,20.0,,-32.95430525,-60.643380875,Zeballos 1341
19329,2014.0,1.0,247.0,17.0,,-32.95416816666667,-60.64328916666667,Zeballos 1325
20031,2016.0,1.0,247.0,28.0,,-32.954176333333336,-60.64419366666667,Zeballos 1390
20734,2019.0,1.0,247.0,8.0,,-32.953511400000004,-60.6434904,Entre Ríos 1393
2368,1966.0,1.0,247.0,12.0,,-32.953649199999994,-60.6431036,Entre Ríos 1402
2397,1967.0,1.0,247.0,29.0,,-32.954047714285714,-60.64427271428572,Corrientes 1483
3297,1969.0,1.0,247.0,10.0,,-32.9534434,-60.6430518,9 de Julio 1313
5089,1974.0,1.0,247.0,19.0,,-32.954352428571426,-60.643297857142855,Zeballos 1341
586,1957.0,1.0,247.0,16.0,,-32.954055375,-60.643355500000006,Zeballos 1323
5881,1975.0,1.0,247.0,5.0,,-32.953451818181826,-60.64378227272727,Entre Ríos 1391
6348,1976.0,1.0,247.0,32.0,,-32.95374857142857,-60.64414,Corrientes 1453
6515,1976.0,1.0,247.0,18.0,,-32.9542642,-60.643252200000006,Entre Ríos 1530
873,1959.0,1.0,247.0,9.0,,-32.95353,-60.64323411111111,Entre Ríos 1397
15249,2002.0,1.0,248.0,8.0,,-32.953802,-60.641727,Bartolome Mitre 1399
15391,2003.0,1.0,248.0,13.0,,-32.9544398,-60.641895,Bartolomé Mitre 1480
1699,1963.0,1.0,248.0,27.0,,-32.9538309,-60.6426099,Entre Ríos 1413
1703,1963.0,1.0,248.0,7.0,,-32.95366,-60.641806,Bartolome Mitre 1387
17077,2009.0,1.0,248.0,23.0,,-32.9541756,-60.6428674,Entre Ríos 1481
17214,2009.0,1.0,248.0,22.0,,-32.95426383333333,-60.642868,Entre Ríos 1483
17398,2010.0,1.0,248.0,14.0,,-32.9544464,-60.6422748,Zeballos 1242
18638,2012.0,1.0,248.0,13.0,,-32.9544305,-60.642166,Zeballos 1234
21779,2021.0,1.0,248.0,13.0,,-32.9544398,-60.641895,Bartolomé Mitre 1480
2288,1966.0,1.0,248.0,13.0,,-32.9544398,-60.641895,Bartolomé Mitre 1480
3040,1969.0,1.0,248.0,17.0,,-32.954411666666665,-60.642652,Zeballos 1274
3227,1969.0,1.0,248.0,17.0,,-32.954411666666665,-60.642652,Zeballos 1274
345,2004.0,1.0,248.0,9.0,,-32.95395944444445,-60.64195266666668,Entre Ríos 1406
4282,1972.0,1.0,248.0,2.0,,-32.953561166666674,-60.642631,Entre Ríos 1393
4720,1973.0,1.0,248.0,13.0,,-32.9544398,-60.641895,Bartolomé Mitre 1480
4738,1973.0,1.0,248.0,7.0,,-32.95366,-60.641806,Bartolome Mitre 1387
4863,2025.0,1.0,248.0,8.0,,-32.953802,-60.641727,Bartolome Mitre 1399
5500,1974.0,1.0,248.0,13.0,,-32.9544398,-60.641895,Bartolomé Mitre 1480
6581,1977.0,1.0,248.0,25.0,,-32.954001285714284,-60.642737,Entre Ríos 1431
6785,1977.0,1.0,248.0,1.0,,-32.953502,-60.6427278,Entre Ríos 1390
712,1958.0,1.0,248.0,11.0,,-32.954141750000005,-60.642036125,Entre Ríos 1415
7296,1978.0,1.0,248.0,3.0,,-32.95369890909091,-60.64243590909091,Entre Ríos 1400
8324,1980.0,1.0,248.0,12.0,,-32.95424845454546,-60.64208036363636,Entre Ríos 1420
8770,1980.0,1.0,248.0,15.0,,-32.954353874999995,-60.64233775,Zeballos 1250
9188,1981.0,1.0,248.0,7.0,,-32.95366,-60.641806,Bartolome Mitre 1387
9405,1981.0,1.0,248.0,18.0,,-32.954399,-60.642766,Entre Ríos 1485
11017,1986.0,1.0,249.0,13.0,,-32.954619303932134,-60.6404102183034,Sarmiento 1481
11256,1987.0,1.0,249.0,15.0,,-32.95480971428572,-60.640685000000005,Sarmiento 1495
11360,1987.0,1.0,249.0,1.0,,-32.9537424,-60.641323,9 de Julio 1193
