ph,year,seccion,manzana,grafico,division,latitud,longitud,direccion_nominatim
4403,2024.0,1.0,5.0,20.0,,-32.934369,-60.650037,Almirante Brown 2140
6105,1976.0,1.0,5.0,30.0,,-32.9338308,-60.650493,Bulevar Nicasio Oroño 11
13154,1993.0,1.0,6.0,27.0,,-32.9345408,-60.64943459999999,Balcarce 1 bis
13212,1994.0,1.0,6.0,31.0,,-32.9341076,-60.6492936,Balcarce 2 bis
13219,1994.0,1.0,6.0,31.0,,-32.9341076,-60.6492936,Balcarce 2 bis
13454,1994.0,1.0,6.0,21.0,,-32.934501,-60.64873354545455,Almirante Brown 2038
13589,1995.0,1.0,6.0,1.0,,-32.933701199999994,-60.649202,Balcarce 99 bis
14290,1998.0,1.0,6.0,32.0,,-32.934033285714285,-60.64920971428571,Balcarce 100 bis
143,1953.0,1.0,6.0,23.0,,-32.934504600000004,-60.6490266,Almirante Brown 2064
14666,1999.0,1.0,6.0,7.0,,-32.933936,-60.64840225,Güemes 2023
15415,2003.0,1.0,6.0,13.0,,-32.93443499999999,-60.648421,Mariano Moreno 2 bis
15921,2005.0,1.0,6.0,33.0,,-32.93392600000001,-60.64920850000001,Balcarce 100 bis
16578,2007.0,1.0,6.0,2.0,,-32.933769142857145,-60.64905028571429,Güemes 2089
17399,2009.0,1.0,6.0,35.0,,-32.93391622222222,-60.64888044444445,Güemes 2071
17414,2009.0,1.0,6.0,5.0,,-32.93395071428571,-60.64868657142857,Güemes 2051
17614,2010.0,1.0,6.0,24.0,,-32.9345715,-60.64912266666666,Almirante Brown 2072
20588,2018.0,1.0,6.0,10.0,,-32.933959,-60.6481354,Mariano Moreno 100 bis
21002,2019.0,1.0,6.0,12.0,,-32.934360444444444,-60.64845522222223,Mariano Moreno 2 bis
21032,2019.0,1.0,6.0,31.0,,-32.93414841666666,-60.64914408333332,Balcarce 2403
21378,2020.0,1.0,6.0,29.0,,-32.93428671428571,-60.64920442857143,Balcarce 20
22421,2023.0,1.0,6.0,27.0,,-32.9345408,-60.64943459999999,Balcarce 1 bis
2804,1968.0,1.0,6.0,14.0,,-32.93447435295867,-60.648518335584725,Almirante Brown 2020
5665,1975.0,1.0,6.0,14.0,,-32.934538200000006,-60.6482402,Mariano Moreno 2 bis
849,1959.0,1.0,6.0,11.0,,-32.934076857142855,-60.648223571428574,Mariano Moreno 100 bis
9354,1982.0,1.0,6.0,26.0,,-32.9344549090909,-60.64928054545455,Balcarce 19
9654,1982.0,1.0,6.0,6.0,,-32.933938500000004,-60.6485605,Güemes 2037
9879,1983.0,1.0,6.0,19.0,,-32.93463928571429,-60.64856657142858,Almirante Brown 2022
12587,1991.0,1.0,7.0,35.0,,-32.93394616666666,-60.64776066666667,Güemes 1999
12993,1993.0,1.0,7.0,34.0,,-32.934035800000004,-60.6478304,Mariano Moreno 99 bis
